Point,Neighbors
0,92
1,"2,93,94,97"
2,"1,93,94,97"
3,"93,94,98"
4,"5,7,95,96"
5,"4,7,95,96"
6,"99,100"
7,"4,5,95,96"
8,"9,10,11,12"
9,"8,10,11,12"
10,"8,9,11,12"
11,"8,9,10,12"
12,"8,9,10,11"
13,
14,"113,114,115"
15,"16,17,18,19,20,21"
16,"15,17,18,19,20,21"
17,"15,16,18,19,20,21"
18,"15,16,17,19,20,21"
19,"15,16,17,18,20,21"
20,"15,16,17,18,19,21"
21,"15,16,17,18,19,20"
22,23
23,22
24,"25,26"
25,"24,26"
26,"24,25"
27,"30,31,102"
28,
29,
30,"27,31,102"
31,"27,30,102"
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,42
42,41
43,44
44,43
45,
46,
47,"48,49,52,54"
48,"47,49,52,54"
49,"47,48,52,54"
50,51
51,50
52,"47,48,49,54"
53,
54,"47,48,49,52"
55,"56,117"
56,"55,117"
57,
58,"59,60,63,64,65,118,119,120"
59,"58,60,63,64,65,118,119,120"
60,"58,59,63,64,65,118,119,120"
61,62
62,61
63,"58,59,60,64,65,118,119,120"
64,"58,59,60,63,65,118,119,120"
65,"58,59,60,63,64,118,119,120"
66,"67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,105,106,107,108,109,110,111"
67,"66,68,69,70,71,72,73,74,75,76,77,78,79,80,81,105,106,107,108,109,110,111"
68,"66,67,69,70,71,72,73,74,75,76,77,78,79,80,81,105,106,107,108,109,110,111"
69,"66,67,68,70,71,72,73,74,75,76,77,78,79,80,81,105,106,107,108,109,110,111"
70,"66,67,68,69,71,72,73,74,75,76,77,78,79,80,81,105,106,107,108,109,110,111"
71,"66,67,68,69,70,72,73,74,75,76,77,78,79,80,81,105,106,107,108,109,110,111"
72,"66,67,68,69,70,71,73,74,75,76,77,78,79,80,81,105,106,107,108,109,110,111"
73,"66,67,68,69,70,71,72,74,75,76,77,78,79,80,81,105,106,107,108,109,110,111"
74,"66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,105,106,107,108,109,110,111"
75,"66,67,68,69,70,71,72,73,74,76,77,78,79,80,81,105,106,107,108,109,110,111"
76,"66,67,68,69,70,71,72,73,74,75,77,78,79,80,81,105,106,107,108,109,110,111"
77,"66,67,68,69,70,71,72,73,74,75,76,78,79,80,81,105,106,107,108,109,110,111"
78,"66,67,68,69,70,71,72,73,74,75,76,77,79,80,81,105,106,107,108,109,110,111"
79,"66,67,68,69,70,71,72,73,74,75,76,77,78,80,81,105,106,107,108,109,110,111"
80,"66,67,68,69,70,71,72,73,74,75,76,77,78,79,81,105,106,107,108,109,110,111"
81,"66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,105,106,107,108,109,110,111"
82,
83,"84,121"
84,"83,121"
85,"86,87"
86,"85,87"
87,"85,86"
88,89
89,88
90,112
91,
92,0
93,"1,2,3,94,97,98"
94,"1,2,3,93,97,98"
95,"4,5,7,96"
96,"4,5,7,95"
97,"1,2,93,94"
98,"3,93,94"
99,"6,100"
100,"6,99"
101,
102,"27,30,31"
103,
104,
105,"66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,106,107,108,109,110,111"
106,"66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,105,107,108,109,110,111"
107,"66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,105,106,108,109,110,111"
108,"66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,105,106,107,109,110,111"
109,"66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,105,106,107,108,110,111"
110,"66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,105,106,107,108,109,111"
111,"66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,105,106,107,108,109,110"
112,90
113,"14,114,115"
114,"14,113,115"
115,"14,113,114"
116,
117,"55,56"
118,"58,59,60,63,64,65,119,120"
119,"58,59,60,63,64,65,118,120"
120,"58,59,60,63,64,65,118,119"
121,"83,84"
