State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Latitude,Longitude,APC_Outlier,LP_Outlier,PDP_Outlier,NNPP_Outlier
YOBE,BADE,GWIO-KURA,35-01-02-003,"GWIO DINA ,PRI. SCH.",222,777,True,-1,True,False,False,False,UNKNOWN,17,0,18,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3846/ward/26010/pu/116856/116856-1677683707.pdf,12.62927,11.12102,32.0,0.0,38.0,2.0
YOBE,BADE,LAWAN FANNAMI,35-01-05-001,"ARI KULOLA, ARI KULOLA GATE",184,750,True,-1,True,False,False,False,UNKNOWN,48,0,115,13,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3846/ward/26013/pu/116877/116877-1677776676.pdf,12.89425,11.03004,30.67,0.67,79.0,11.17
YOBE,BADE,LAWAN FANNAMI,35-01-05-005,TSANGAYA I OPEN SPACE,320,1358,True,-1,True,False,False,False,UNKNOWN,73,0,221,22,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3846/ward/26013/pu/116881/116881-1677771029.pdf,12.89425,11.03004,51.5,0.67,141.67,15.67
YOBE,BADE,SARKIN HAUSAWA,35-01-07-002,TALBARI L.E.A.,581,1935,True,-1,False,False,False,False,UNKNOWN,36,0,192,36,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3846/ward/26015/pu/116893/116893-1677491607.pdf,12.83656,11.04662,24.67,0.67,117.5,27.33
YOBE,BADE,TAGALI/SUGUM,35-01-08-007,MADAMUWA BULAMA GATE,193,572,True,-1,True,False,False,False,UNKNOWN,119,0,43,19,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/007/007-1677413717.pdf,11.83004,11.025,81.5,0.2,56.3,11.6
YOBE,BADE,TAGALI/SUGUM,35-01-08-008,MADAMUWA BULAMA GATE,193,572,True,-1,True,False,False,False,UNKNOWN,225,0,65,10,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/007/007-1677413717.pdf,11.83004,11.025,176.9,0.2,45.3,6.1
YOBE,BADE,USUR/DAWAYO,35-01-09-008,AZAM KURA B. GATE II,168,807,True,-1,True,True,False,False,UNKNOWN,52,0,52,62,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3846/ward/26017/pu/116914/116914-1677770069.pdf,12.85565,10.89342,41.0,0.5,43.5,52.0
YOBE,BADE,ZANGON MUSA/ZANGO UMARU,35-01-10-006,NOMAU NA INNA,223,977,True,-1,False,True,False,False,UNKNOWN,67,0,140,10,https://docs.inecelectionresults.net/elections_prod/1292/116922-1677856330.pdf,11.83004,11.025,49.1,0.2,61.0,6.1
YOBE,BURSARI,DAMNAWA/JULURI,35-02-02-005,JULURI II. PRI SCHOOL,58,393,True,-1,True,False,False,False,UNKNOWN,32,0,19,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/115839/result_62016_1677609804_thumb.jpg,12.71578,11.41272,15.25,0.0,50.0,1.25
YOBE,BURSARI,KALIYARI,35-02-08-009,"TUNGA, DANDALI MAIGARI",116,579,True,-1,True,False,False,False,UNKNOWN,50,0,47,4,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/115897/result_62099_1677614285_thumb.jpg,12.71578,11.41272,19.25,0.0,29.0,1.25
YOBE,BURSARI,MASABA,35-02-10-003,"DASKUM, PRI. SCH.",87,432,True,-1,False,True,False,False,UNKNOWN,33,0,48,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/115909/result_62115_1677606107_thumb.jpg,12.71578,11.41272,15.0,0.0,28.75,1.25
YOBE,BURSARI,MASABA,35-02-10-008,GIRWAN PRI SCHOOL,127,462,True,-1,True,False,False,False,UNKNOWN,25,0,92,4,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/115914/result_62120_1677607103_thumb.jpg,12.71578,11.41272,20.5,0.0,41.25,1.25
YOBE,BURSARI,MASABA,35-02-10-010,"MASABA, DISPENSARY",163,542,True,-1,True,False,False,False,UNKNOWN,67,0,89,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/115916/result_62122_1677605610_thumb.jpg,12.71578,11.41272,32.0,0.0,39.0,1.0
YOBE,DAMATURU,KUKARETA/WARSALA,35-03-06-005,GONI USMAN GATE,38,492,True,-1,True,False,False,False,UNKNOWN,23,0,9,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/06/pu/005/005-1677422557.pdf,11.89572,12.18015,,,,
YOBE,FIKA,MUBI / FUSAMI / GARIN WAYO,35-04-06-004,"GARIN WAYO, PRI. SCH.",403,906,True,-1,True,False,False,False,UNKNOWN,104,0,296,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/116072/result_62480_1677579683_thumb.jpg,11.28674,11.30772,82.0,0.0,237.67,0.0
YOBE,FUNE,ABAKIRE / NGENLSHENGELE / SHAMKA,35-05-01-008,LAMIDO GOMBE K/BULAMA,104,332,True,-1,True,False,False,False,UNKNOWN,52,0,45,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/116109/result_62556_1677929838_thumb.jpg,11.85212,11.44862,41.0,0.17,76.83,1.5
YOBE,FUNE,BORNO KIJI/NGARHO/BEBBENDE,35-05-03-003,"BINDIGI  , PRI. SCH.",234,750,True,-1,True,True,False,False,UNKNOWN,107,0,96,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3850/ward/26052/pu/117224/117224-1677585020.pdf,11.85212,11.44862,54.83,0.17,68.33,1.67
YOBE,FUNE,DAMAGUM TOWN,35-05-04-003,"ANGUWAR DUTSI, MARKET STALL STORE",281,750,True,-1,True,True,False,False,UNKNOWN,46,1,215,6,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3850/ward/26053/pu/117234/117234-1677510296.pdf,11.85212,11.44862,42.0,1.0,134.83,5.33
YOBE,FUNE,DAMAGUM TOWN,35-05-04-009,"DAMAGUM , CENTRAL PRI. SCH. II",218,750,True,-1,True,False,False,False,UNKNOWN,32,0,170,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/04/pu/009/009-1677420969.pdf,11.85212,11.44862,49.67,0.17,97.33,2.0
YOBE,FUNE,FUNE/NGELZARMA/MILBIYAR/LAWAN KALAM,35-05-07-006,FUNE PRIMARY SCHOOL,301,959,True,-1,True,False,False,False,UNKNOWN,158,0,120,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/07/pu/006/006-1677374878.pdf,11.85212,11.44862,97.33,0.17,72.33,1.5
YOBE,FUNE,GABA TASHA/AIGADA/DUMBULWA,35-05-08-007,JORINGEL ZOTO KOFAR BULAMA,300,873,True,-1,True,False,False,False,UNKNOWN,93,0,37,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3850/ward/26057/pu/117287/117287-1677594838.pdf,11.85212,11.44862,47.83,0.17,80.83,1.67
YOBE,FUNE,GUDUGURKA/MARMAR  I,35-05-09-010,RIGIM KOFAR BULAMA B,53,312,True,-1,True,False,False,False,UNKNOWN,34,0,13,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/116199/result_62700_1677843525_thumb.jpg,11.85212,11.44862,48.0,0.17,100.83,1.67
YOBE,FUNE,KAYERI,35-05-11-001,ANG MODU HEALTH CENTRE,178,750,True,-1,True,True,False,False,UNKNOWN,54,2,104,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3850/ward/26060/pu/117316/117316-1677578678.pdf,12.0298806,11.1121994,60.0,2.0,42.0,3.0
YOBE,FUNE,KAYERI,35-05-11-011,JAURO KUKA KOFAR BULAMA,192,699,True,-1,True,False,False,False,UNKNOWN,114,0,62,5,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/116226/result_62737_1677848581_thumb.jpg,12.0298806,11.1121994,60.0,2.0,42.0,3.0
