Date,Precipitation,Precipitation probability,Precipitation cover,Precipitation type,Sea level pressure
2022-01-01,0.0,0,0.0,,1011.6
2022-01-02,0.0,0,0.0,,1010.5
2022-01-03,0.3,100,8.33,rain,1009.7
2022-01-04,0.3,100,8.33,rain,1010.7
2022-01-05,0.0,0,0.0,,1010.8
2022-01-06,0.0,0,0.0,,1010.1
2022-01-07,0.1,100,4.17,rain,1010.8
2022-01-08,0.4,100,16.67,rain,1010.8
2022-01-09,0.0,0,0.0,,1009.8
2022-01-10,0.0,0,0.0,,1009.2
2022-01-11,0.8,100,8.33,rain,1009.4
2022-01-12,0.0,0,0.0,,1011.3
2022-01-13,1.2,100,12.5,rain,1012.3
2022-01-14,0.0,0,0.0,,1013.1
2022-01-15,0.0,0,0.0,,1011.8
2022-01-16,0.0,0,0.0,,1014.2
2022-01-17,0.1,100,4.17,rain,1014.2
2022-01-18,0.2,100,8.33,rain,1014.5
2022-01-19,0.0,0,0.0,,1013.1
2022-01-20,0.0,0,0.0,,1012.1
2022-01-21,0.0,0,0.0,,1011.9
2022-01-22,0.0,0,0.0,,1012.0
2022-01-23,0.1,100,4.17,rain,1011.5
2022-01-24,0.0,0,0.0,,1010.9
2022-01-25,0.0,0,0.0,,1011.2
2022-01-26,0.0,0,0.0,,1010.3
2022-01-27,0.0,0,0.0,,1011.0
2022-01-28,0.0,0,0.0,,1010.9
2022-01-29,0.0,0,0.0,,1011.1
2022-01-30,0.0,0,0.0,,1011.3
2022-01-31,0.0,0,0.0,,1010.7
2022-02-01,0.0,0,0.0,,1011.1
2022-02-02,0.0,0,0.0,,1011.4
2022-02-03,0.0,0,0.0,,1012.4
2022-02-04,0.0,0,0.0,,1012.3
2022-02-05,0.0,0,0.0,,1011.6
2022-02-06,0.0,0,0.0,,1011.3
2022-02-07,0.0,0,0.0,,1011.0
2022-02-08,0.1,100,4.17,rain,1011.1
2022-02-09,0.0,0,0.0,,1010.9
2022-02-10,0.0,0,0.0,rain,1009.9
2022-02-11,0.0,0,0.0,rain,1009.0
2022-02-12,0.0,0,0.0,rain,1009.8
2022-02-13,1.1,100,8.33,rain,1010.6
2022-02-14,0.0,0,0.0,,1010.4
2022-02-15,0.0,0,0.0,,1010.6
2022-02-16,0.1,100,4.17,rain,1010.7
2022-02-17,0.0,0,0.0,rain,1009.0
2022-02-18,0.0,0,0.0,rain,1008.9
2022-02-19,0.0,0,0.0,rain,1010.1
2022-02-20,0.0,0,0.0,rain,1011.2
2022-02-21,0.1,100,4.17,rain,1010.9
2022-02-22,0.0,0,0.0,rain,1011.0
2022-02-23,0.0,0,0.0,rain,1011.7
2022-02-24,0.1,100,4.17,rain,1010.8
2022-02-25,0.0,0,0.0,,1010.3
2022-02-26,0.0,0,0.0,rain,1009.7
2022-02-27,0.0,0,0.0,rain,1010.5
2022-02-28,0.0,0,0.0,rain,1010.3
2022-03-01,0.0,0,0.0,rain,1009.9
2022-03-02,0.0,0,0.0,rain,1010.0
2022-03-03,0.0,0,0.0,rain,1010.1
2022-03-04,0.7,100,12.5,rain,1009.5
2022-03-05,2.0,100,8.33,rain,1008.9
2022-03-06,7.0,100,4.17,rain,1009.4
2022-03-07,0.0,0,0.0,,1008.5
2022-03-08,0.0,0,0.0,rain,1008.0
2022-03-09,0.0,0,0.0,rain,1007.7
2022-03-10,0.1,100,4.17,rain,1008.2
2022-03-11,0.0,0,0.0,rain,1009.0
2022-03-12,26.0,100,4.17,rain,1009.8
2022-03-13,0.0,0,0.0,rain,1009.4
2022-03-14,2.0,100,4.17,rain,1009.3
2022-03-15,12.0,100,4.17,rain,1010.5
2022-03-16,1.4,100,4.17,rain,1010.3
2022-03-17,0.0,0,0.0,,1009.4
2022-03-18,0.0,0,0.0,rain,1009.1
2022-03-19,0.0,0,0.0,rain,1009.8
2022-03-20,0.0,0,0.0,rain,1010.1
2022-03-21,0.0,0,0.0,rain,1010.1
2022-03-22,0.0,0,0.0,rain,1010.2
2022-03-23,0.2,100,8.33,rain,1010.4
2022-03-24,240.0,100,4.17,rain,1009.9
2022-03-25,0.0,0,0.0,,1009.0
2022-03-26,0.0,0,0.0,rain,1009.0
2022-03-27,0.0,0,0.0,rain,1010.6
2022-03-28,0.1,100,4.17,rain,1010.7
2022-03-29,0.0,0,0.0,rain,1009.3
2022-03-30,0.0,0,0.0,rain,1007.5
2022-03-31,0.0,0,0.0,,1008.0
2022-04-01,0.0,0,0.0,rain,1009.5
2022-04-02,35.0,100,4.17,rain,1010.0
2022-04-03,0.0,0,0.0,rain,1010.0
2022-04-04,0.0,0,0.0,rain,1010.5
2022-04-05,0.1,100,4.17,rain,1010.3
2022-04-06,9.0,100,4.17,rain,1010.0
2022-04-07,0.0,0,0.0,rain,1010.2
2022-04-08,5.0,100,4.17,rain,1010.4
2022-04-09,0.0,0,0.0,rain,1010.3
2022-04-10,0.0,0,0.0,,1008.8
2022-04-11,0.0,0,0.0,,1008.9
2022-04-12,6.0,100,4.17,rain,1009.2
2022-04-13,0.0,0,0.0,rain,1009.2
2022-04-14,0.6,100,4.17,rain,1009.8
2022-04-15,0.0,0,0.0,rain,1010.2
2022-04-16,7.0,100,4.17,rain,1010.2
2022-04-17,0.0,0,0.0,rain,1009.4
2022-04-18,36.0,100,8.33,rain,1010.7
2022-04-19,0.0,0,0.0,,1011.5
2022-04-20,2.1,100,4.17,rain,1010.6
2022-04-21,20.0,100,4.17,rain,1010.8
2022-04-22,0.0,0,0.0,,1010.3
2022-04-23,0.0,0,0.0,rain,1009.9
2022-04-24,28.0,100,4.17,rain,1010.0
2022-04-25,0.0,0,0.0,,1009.5
2022-04-26,0.0,0,0.0,,1009.8
2022-04-27,0.1,100,4.17,rain,1010.1
2022-04-28,24.0,100,4.17,rain,1011.0
2022-04-29,0.0,0,0.0,,1010.9
2022-04-30,0.0,0,0.0,,1012.4
2022-05-01,0.0,0,0.0,,1012.8
2022-05-02,0.0,0,0.0,rain,1012.4
2022-05-03,0.0,0,0.0,,1011.0
2022-05-04,13.0,100,8.33,rain,1011.6
2022-05-05,0.0,0,0.0,rain,1011.9
2022-05-06,48.0,100,8.33,rain,1011.9
2022-05-07,0.0,0,0.0,,1011.7
2022-05-08,0.0,0,0.0,,1010.6
2022-05-09,0.1,100,4.17,rain,1010.7
2022-05-10,1.0,100,4.17,rain,1011.8
2022-05-11,0.0,0,0.0,,1011.6
2022-05-12,9.0,100,8.33,rain,1012.3
2022-05-13,0.0,0,0.0,rain,1012.3
2022-05-14,0.9,100,4.17,rain,1012.2
2022-05-15,0.0,0,0.0,rain,1012.6
2022-05-16,3.9,100,20.83,rain,1012.2
2022-05-17,6.0,100,4.17,rain,1011.9
2022-05-18,0.0,0,0.0,rain,1010.9
2022-05-19,1.0,100,4.17,rain,1011.5
2022-05-20,0.6,100,8.33,rain,1012.5
2022-05-21,22.0,100,4.17,rain,1013.7
2022-05-22,1.0,100,4.17,rain,1014.3
2022-05-23,2.5,100,4.17,rain,1013.0
2022-05-24,0.0,0,0.0,rain,1013.8
2022-05-25,0.0,0,0.0,,1015.4
2022-05-26,0.0,0,0.0,rain,1015.8
2022-05-27,0.1,100,4.17,rain,1015.3
2022-05-28,0.0,0,0.0,rain,1013.4
2022-05-29,0.0,0,0.0,rain,1012.1
2022-05-30,0.0,0,0.0,rain,1012.1
2022-05-31,3.0,100,4.17,rain,1011.9
2022-06-01,1.0,100,4.17,rain,1011.1
2022-06-02,0.0,0,0.0,rain,1009.9
2022-06-03,6.0,100,4.17,rain,1009.9
2022-06-04,0.0,0,0.0,rain,1011.4
2022-06-05,5.0,100,8.33,rain,1012.0
2022-06-06,3.0,100,4.17,rain,1013.0
2022-06-07,0.0,0,0.0,rain,1013.1
2022-06-08,0.0,0,0.0,rain,1012.6
2022-06-09,0.2,100,4.17,rain,1011.7
2022-06-10,18.0,100,4.17,rain,1011.9
2022-06-11,4.0,100,4.17,rain,1013.8
2022-06-12,0.0,0,0.0,rain,1013.8
