Name,Datetime,Tempmax,Tempmin,Temp,Humidity,Precip,Preciprob,Precipcover,preciptype,Windspeed,Winddir,Sealevelpressure,Cloudcover,Severrisk,Moonphase,Flood
Lagos,06/01/2002,29.6,26.1,27.2,86.5,1.5,100,8.33,rain,22.3,179.1,1010.2,90,,0.75,0
Lagos,17/02/2002,28.6,26.1,27.8,83.4,39.9,100,4.17,rain,18.4,192.4,1010.9,90,,0.17,0
Lagos,22/04/2002,25.1,25.1,25.1,95.9,0.7,100,4.17,rain,0,,1009.6,90,,0.34,0
Lagos,04/05/2002,29.1,27.1,27.8,87.9,3,100,4.17,rain,9.4,310,1009.4,90,,0.75,0
Lagos,19/05/2002,32.1,27.1,29.2,84.5,0.7,100,4.17,rain,14.8,220,1010.1,90,,0.25,1
Lagos,26/05/2002,29.7,25.9,27.4,89.7,0.7,100,4.17,rain,22.3,209.1,1009.6,90,,0.5,0
Lagos,29/05/2002,29.1,24.1,27.2,87,0.8,100,4.17,rain,25.9,161.9,1011.2,90,,0.6,0
Lagos,04/06/2002,29.1,23.7,25.6,92.7,9.9,100,4.17,rain,14.8,219.9,1011.3,90,,0.79,0
Lagos,05/06/2002,31.1,22.9,26.4,84.4,9.9,100,4.17,rain,25.9,244,1010.7,90,,0.82,0
Lagos,06/06/2002,28.1,21.1,23.8,95.5,78,100,8.33,rain,37.1,127.1,1012,90,,0.85,0
Lagos,10/06/2002,30.1,23.1,25.6,93.7,65.7,100,8.33,rain,18.4,347,1011.9,90,,0.98,0
Lagos,11/06/2002,32.1,24.1,28,81.9,0.7,100,4.17,rain,22.3,237.9,1011.8,90,,0,0
Lagos,14/06/2002,26.1,23.7,24.5,96.6,44,100,8.33,rain,54,215.2,1012.1,90,,0.12,0
Lagos,15/06/2002,30.1,23.1,26.5,88.3,18,100,4.17,rain,24.1,211.1,1012.7,90,,0.16,0
Lagos,16/06/2002,29.1,23.1,26.2,84.9,9.9,100,4.17,rain,22.3,167.6,1012.2,90,,0.2,0
Lagos,20/06/2002,30.1,24.4,26.6,88,0.7,100,4.17,rain,22.3,199.3,1013.4,90,,0.34,0
Lagos,21/06/2002,30.1,24.1,25.7,91.9,4.1,100,4.17,rain,20.5,216.3,1013.4,90,,0.38,0
Lagos,22/06/2002,31.1,24.1,26.8,88,6.1,100,4.17,rain,37.1,214.9,1013.5,90,,0.41,0
Lagos,24/06/2002,26.1,23.4,25.1,97.7,52.9,100,8.33,rain,13,224.4,1013.6,90.9,,0.5,1
Lagos,25/06/2002,30.4,24.1,26.7,90.7,23.1,100,4.17,rain,18.4,219.4,1014.1,85,,0.52,0
Lagos,26/06/2002,30.1,22.1,26.5,91.1,26.9,100,8.33,rain,33.5,215.4,1013.9,92,,0.55,0
Lagos,27/06/2002,29.1,23.1,25.4,92.5,9.9,100,4.17,rain,22.3,217.5,1014,90.8,,0.58,0
Lagos,30/06/2002,30.1,24.7,26.4,88.2,1,100,4.17,rain,22.3,206.2,1014.9,85.6,,0.68,0
Lagos,03/07/2002,26.4,25.1,25.6,94.8,0.5,100,4.17,rain,18.4,218.4,1013.2,90,,0.78,0
Lagos,04/07/2002,29.1,24.1,25.9,91.4,5.1,100,4.17,rain,16.6,207.6,1013.1,90,,0.81,0
Lagos,05/07/2002,27.1,24.1,25.5,87.7,1,100,4.17,rain,18.4,116.2,1013.1,90,,0.84,0
Lagos,10/07/2002,29.1,25.1,27.2,85.2,0.7,100,4.17,rain,27.7,212.8,1013.8,90,,0,0
Lagos,11/07/2002,30.1,24.2,26.2,89.6,4.1,100,4.17,rain,25.9,223.4,1013.7,90,,0.04,0
Lagos,12/07/2002,29.1,22.6,25.9,90.5,72.1,100,8.33,rain,27.7,209.8,1012.7,90,,0.07,0
Lagos,13/07/2002,30.1,24.1,26.8,86.7,0.7,100,4.17,rain,25.9,223.6,1012.9,90,,0.11,0
Lagos,14/07/2002,30.1,24.1,26.5,88.6,0.7,100,4.17,rain,24.1,213.6,1012.9,90,,0.14,0
Lagos,15/07/2002,28.7,25.1,26.4,92.6,1,100,4.17,rain,16.6,197.3,1013.1,90,,0.18,0
Lagos,16/07/2002,25.6,24.1,25,97.7,75.9,100,8.33,rain,27.7,216.4,1012.7,90,,0.22,0
Lagos,18/07/2002,26.1,24.1,24.7,95.9,42.9,100,8.33,rain,33.5,218.1,1013,90.6,,0.29,0
Lagos,21/07/2002,28.1,24.1,25.6,90.8,1.7,100,8.33,rain,29.5,207.7,1011.9,90,,0.4,0
Lagos,22/07/2002,27.1,24.1,25.4,93.4,67.1,100,4.17,rain,27.7,209.8,1012.3,90,,0.43,0
Lagos,23/07/2002,24.2,23.1,23.6,99,67.1,100,4.17,rain,14.8,202.9,1013.8,92.3,,0.47,0
Lagos,24/07/2002,29.1,23.1,25.4,91.2,39.1,100,8.33,rain,31.3,232.7,1014.7,85,,0.5,0
Lagos,30/07/2002,29.1,23.6,25.6,90.8,0.7,100,4.17,rain,29.5,225.5,1014,90,,0.7,0
Lagos,31/07/2002,26.6,24.6,25.3,89.7,0.7,100,4.17,rain,29.5,221.4,1012.8,90,,0.73,0
Lagos,01/08/2002,27.1,24.1,25.3,89.1,5.1,100,8.33,rain,29.5,213.8,1012.4,90,,0.75,0
Lagos,14/08/2002,26.1,24.1,24.7,95.4,8.9,100,8.33,rain,25.9,217.1,1014.8,90,,0.2,0
Lagos,17/08/2002,29.1,25.1,27.1,79.9,0.7,100,4.17,rain,33.5,211.5,1012.6,90,,0.31,0
Lagos,18/08/2002,25.9,24.6,25.4,90.2,0.7,100,4.17,rain,18.4,216.8,1013.7,90,,0.34,0
Lagos,20/08/2002,26.1,24.1,25.3,92.4,13.7,100,8.33,rain,37.1,205.6,1013.5,90,,0.41,0
Lagos,21/08/2002,28.1,24.1,25.3,91.9,0.7,100,4.17,rain,33.5,214.7,1013.6,90,,0.45,0
Lagos,22/08/2002,27.1,23.6,25.6,85.1,0.7,100,4.17,rain,29.5,222.9,1013.7,90,,0.5,0
Lagos,26/08/2002,27.1,23.1,24.7,93.1,5.1,100,4.17,rain,37.1,211.7,1011.9,90,,0.62,0
Lagos,29/08/2002,25.4,24.1,24.6,91.8,6.1,100,4.17,rain,22.3,216.2,1012.3,91.1,,0.71,0
Lagos,30/10/2002,30.1,25.1,28,81.8,2,100,4.17,rain,29.5,200,1010.6,90,,0.81,0
Lagos,18/01/2003,26.2,24.1,25.5,95,52.1,100,8.33,rain,14.8,190.3,1011.2,90,,0.5,0
Lagos,26/05/2003,30.1,26.4,28.6,75.1,5.1,100,4.17,rain,27.7,200.2,1010.4,90,,0.84,0
Lagos,30/05/2003,31.1,24.6,25.8,94.3,39.1,100,8.33,rain,18.4,226.4,1011.6,90,,0.98,0
