Date, Open, High, Low, Close
2024-07-23,0.7732,0.776,0.773,0.7748
2024-07-22,0.7742,0.7749,0.7726,0.7732
2024-07-19,0.7726,0.7752,0.7716,0.7743
2024-07-18,0.7686,0.7729,0.7683,0.7725
2024-07-17,0.7709,0.7714,0.7665,0.7687
2024-07-16,0.7712,0.773,0.7703,0.7707
2024-07-15,0.7704,0.7718,0.7695,0.7711
2024-07-12,0.7744,0.7751,0.7694,0.7699
2024-07-11,0.7783,0.7784,0.7722,0.7743
2024-07-10,0.782,0.7827,0.7782,0.7783
2024-07-09,0.7808,0.7827,0.7796,0.782
2024-07-08,0.7807,0.7819,0.7784,0.781
2024-07-05,0.7838,0.7842,0.7801,0.7804
2024-07-04,0.7838,0.7838,0.7838,0.7838
2024-07-03,0.789,0.7891,0.7826,0.7848
2024-07-02,0.7906,0.7927,0.7881,0.7883
2024-07-01,0.7906,0.7906,0.7906,0.7906
2024-06-28,0.7912,0.7925,0.7896,0.7907
2024-06-27,0.792,0.7929,0.7892,0.7912
2024-06-26,0.792,0.792,0.792,0.792
2024-06-25,0.7883,0.7893,0.7872,0.7883
2024-06-24,0.7904,0.7916,0.7874,0.7883
2024-06-21,0.79,0.7923,0.7889,0.7907
2024-06-20,0.7862,0.7903,0.7858,0.79
2024-06-19,0.7869,0.7875,0.7849,0.7862
2024-06-18,0.7871,0.7894,0.7861,0.7868
2024-06-17,0.7892,0.7901,0.7867,0.7872
2024-06-14,0.7835,0.7902,0.7834,0.7882
2024-06-13,0.7814,0.7851,0.7808,0.7835
2024-06-12,0.785,0.7854,0.7775,0.7814
2024-06-11,0.7855,0.7871,0.7842,0.7849
2024-06-10,0.7856,0.7882,0.785,0.7854
2024-06-07,0.7817,0.7865,0.7804,0.7856
2024-06-06,0.782,0.7835,0.7806,0.7818
2024-06-05,0.7832,0.784,0.7815,0.782
2024-06-04,0.7808,0.7848,0.7802,0.7831
2024-06-03,0.7852,0.7878,0.7807,0.7807
2024-05-31,0.7854,0.7875,0.7833,0.7849
2024-05-30,0.7873,0.7886,0.7844,0.7853
2024-05-29,0.7836,0.7876,0.7828,0.7874
2024-05-28,0.7831,0.7842,0.7812,0.7835
2024-05-27,0.7849,0.7863,0.7825,0.7832
2024-05-24,0.7875,0.7889,0.7842,0.7852
2024-05-23,0.7864,0.7883,0.7845,0.7875
2024-05-22,0.7867,0.7874,0.7835,0.7864
2024-05-21,0.7871,0.7882,0.7856,0.7868
2024-05-20,0.7871,0.7881,0.7858,0.787
2024-05-17,0.7893,0.7909,0.7866,0.7873
2024-05-16,0.7883,0.791,0.7873,0.7892
2024-05-15,0.7941,0.7947,0.7881,0.7883
2024-05-14,0.7961,0.7994,0.794,0.7942
2024-05-13,0.7984,0.7989,0.7955,0.7963
2024-05-10,0.7984,0.7999,0.7973,0.7984
2024-05-09,0.8004,0.8035,0.7982,0.7985
2024-05-08,0.7995,0.8022,0.7986,0.8002
2024-05-07,0.796,0.8,0.7954,0.7994
2024-05-06,0.7968,0.7976,0.7939,0.7961
2024-05-03,0.798,0.7986,0.7915,0.797
2024-05-02,0.7983,0.8018,0.7971,0.7978
2024-05-01,0.8004,0.8022,0.7967,0.7982
2024-04-30,0.7959,0.8007,0.7957,0.8005
2024-04-29,0.8007,0.8014,0.7955,0.796
2024-04-26,0.799,0.8033,0.7973,0.8003
2024-04-25,0.799,0.799,0.799,0.799
2024-04-24,0.8033,0.8051,0.8019,0.8022
2024-04-23,0.8098,0.811,0.8026,0.8032
2024-04-22,0.8085,0.8131,0.8068,0.8098
2024-04-19,0.8042,0.8087,0.802,0.8083
2024-04-18,0.8029,0.8043,0.801,0.8042
2024-04-17,0.8048,0.8054,0.8012,0.803
2024-04-16,0.8034,0.8062,0.8018,0.8048
2024-04-15,0.8027,0.8042,0.8,0.8034
2024-04-12,0.7965,0.8048,0.7962,0.8026
2024-04-11,0.7973,0.7994,0.795,0.7967
2024-04-10,0.7973,0.7973,0.7973,0.7973
2024-04-09,0.7902,0.7906,0.7867,0.7887
2024-04-08,0.7913,0.7929,0.7895,0.7901
2024-04-05,0.7911,0.7953,0.7905,0.7913
2024-04-04,0.7903,0.7915,0.7884,0.791
2024-04-03,0.795,0.7961,0.7901,0.7904
2024-04-02,0.7967,0.7975,0.795,0.7951
2024-04-01,0.7921,0.7975,0.7909,0.7967
2024-03-29,0.7922,0.7931,0.7907,0.792
2024-03-28,0.7911,0.7946,0.7902,0.7922
2024-03-27,0.7919,0.7933,0.791,0.7912
2024-03-26,0.7913,0.7923,0.7893,0.7918
2024-03-25,0.7936,0.7943,0.7903,0.7914
2024-03-22,0.79,0.7953,0.7889,0.7935
2024-03-21,0.7821,0.7906,0.781,0.7901
2024-03-20,0.7861,0.7884,0.782,0.7822
2024-03-19,0.7855,0.7895,0.7853,0.786
2024-03-18,0.7854,0.7863,0.7844,0.7856
2024-03-15,0.7841,0.7859,0.7837,0.7853
2024-03-14,0.7814,0.7855,0.7798,0.7842
2024-03-13,0.7818,0.7829,0.7805,0.7814
2024-03-12,0.7804,0.7845,0.7798,0.7817
2024-03-11,0.7778,0.7816,0.7773,0.7805
2024-03-08,0.7806,0.7813,0.7756,0.7777
2024-03-07,0.7855,0.786,0.7805,0.7807
2024-03-06,0.7871,0.7881,0.7835,0.7854
2024-03-05,0.7879,0.7892,0.7852,0.7871
2024-03-04,0.7901,0.7905,0.787,0.7879
2024-03-01,0.7922,0.7937,0.7895,0.7903
2024-02-29,0.7898,0.7929,0.7884,0.792
2024-02-28,0.7898,0.7898,0.7898,0.7898
2024-02-27,0.7884,0.79,0.7875,0.7884
2024-02-26,0.7887,0.7904,0.7873,0.7883
2024-02-23,0.7899,0.7906,0.7873,0.7891
2024-02-22,0.7912,0.793,0.7867,0.7898
2024-02-21,0.7922,0.7935,0.791,0.7913
2024-02-20,0.794,0.795,0.7893,0.7923
2024-02-19,0.7935,0.7948,0.7917,0.794
2024-02-16,0.7938,0.7968,0.7921,0.7936
2024-02-15,0.7957,0.7974,0.7934,0.7937
2024-02-14,0.794,0.7978,0.7929,0.7958
2024-02-13,0.7919,0.7954,0.7883,0.7941
2024-02-12,0.7919,0.7933,0.7902,0.792
2024-02-09,0.7925,0.7937,0.7909,0.7918
2024-02-08,0.7918,0.7955,0.7911,0.7926
2024-02-07,0.7937,0.794,0.791,0.7921
2024-02-06,0.7977,0.7981,0.7934,0.7937
2024-02-05,0.7915,0.7988,0.7911,0.7978
2024-02-02,0.7846,0.7928,0.7829,0.7916
2024-02-01,0.7846,0.7846,0.7846,0.7846
2024-01-31,0.7875,0.7901,0.7843,0.7881
2024-01-30,0.7868,0.7911,0.786,0.7873
2024-01-29,0.7867,0.7898,0.7862,0.7867
2024-01-26,0.7869,0.789,0.7837,0.7872
2024-01-25,0.7858,0.7886,0.7846,0.7868
2024-01-24,0.7883,0.789,0.7827,0.7858
2024-01-23,0.7868,0.7906,0.7844,0.7882
2024-01-22,0.7872,0.7883,0.7853,0.7867
2024-01-19,0.7875,0.7899,0.7864,0.7871
2024-01-18,0.7888,0.7907,0.7868,0.7871
2024-01-17,0.7914,0.7939,0.7875,0.7889
2024-01-16,0.7854,0.7925,0.7851,0.7913
2024-01-15,0.7845,0.7866,0.7833,0.7857
2024-01-12,0.7835,0.7863,0.782,0.7842
2024-01-11,0.7845,0.7881,0.7824,0.7834
2024-01-10,0.7868,0.7883,0.7846,0.7847
2024-01-09,0.7842,0.7881,0.7833,0.7867
2024-01-08,0.7859,0.7891,0.7832,0.7844
2024-01-05,0.7885,0.793,0.783,0.7863
2024-01-04,0.7896,0.7926,0.7854,0.7885
2024-01-03,0.7926,0.7926,0.7888,0.7896
2024-01-02,0.7857,0.7931,0.7836,0.7925
2024-01-01,0.785,0.793,0.783,0.7856
2023-12-29,0.7855,0.7875,0.7828,0.7854
2023-12-28,0.7813,0.7867,0.7795,0.7854
2023-12-27,0.7862,0.7875,0.7811,0.7814
