Date,M1SL
2014-05-01,2785.3
2014-05-02,2785.3
2014-05-03,2785.3
2014-05-04,2785.3
2014-05-05,2785.3
2014-05-06,2785.3
2014-05-07,2785.3
2014-05-08,2785.3
2014-05-09,2785.3
2014-05-10,2785.3
2014-05-11,2785.3
2014-05-12,2785.3
2014-05-13,2785.3
2014-05-14,2785.3
2014-05-15,2785.3
2014-05-16,2785.3
2014-05-17,2785.3
2014-05-18,2785.3
2014-05-19,2785.3
2014-05-20,2785.3
2014-05-21,2785.3
2014-05-22,2785.3
2014-05-23,2785.3
2014-05-24,2785.3
2014-05-25,2785.3
2014-05-26,2785.3
2014-05-27,2785.3
2014-05-28,2785.3
2014-05-29,2785.3
2014-05-30,2785.3
2014-05-31,2785.3
2014-06-01,2817.2
2014-06-02,2817.2
2014-06-03,2817.2
2014-06-04,2817.2
2014-06-05,2817.2
2014-06-06,2817.2
2014-06-07,2817.2
2014-06-08,2817.2
2014-06-09,2817.2
2014-06-10,2817.2
2014-06-11,2817.2
2014-06-12,2817.2
2014-06-13,2817.2
2014-06-14,2817.2
2014-06-15,2817.2
2014-06-16,2817.2
2014-06-17,2817.2
2014-06-18,2817.2
2014-06-19,2817.2
2014-06-20,2817.2
2014-06-21,2817.2
2014-06-22,2817.2
2014-06-23,2817.2
2014-06-24,2817.2
2014-06-25,2817.2
2014-06-26,2817.2
2014-06-27,2817.2
2014-06-28,2817.2
2014-06-29,2817.2
2014-06-30,2817.2
2014-07-01,2837.3
2014-07-02,2837.3
2014-07-03,2837.3
2014-07-04,2837.3
2014-07-05,2837.3
2014-07-06,2837.3
2014-07-07,2837.3
2014-07-08,2837.3
2014-07-09,2837.3
2014-07-10,2837.3
2014-07-11,2837.3
2014-07-12,2837.3
2014-07-13,2837.3
2014-07-14,2837.3
2014-07-15,2837.3
2014-07-16,2837.3
2014-07-17,2837.3
2014-07-18,2837.3
2014-07-19,2837.3
2014-07-20,2837.3
2014-07-21,2837.3
2014-07-22,2837.3
2014-07-23,2837.3
2014-07-24,2837.3
2014-07-25,2837.3
2014-07-26,2837.3
2014-07-27,2837.3
2014-07-28,2837.3
2014-07-29,2837.3
2014-07-30,2837.3
2014-07-31,2837.3
2014-08-01,2787.0
2014-08-02,2787.0
2014-08-03,2787.0
2014-08-04,2787.0
2014-08-05,2787.0
2014-08-06,2787.0
2014-08-07,2787.0
2014-08-08,2787.0
2014-08-09,2787.0
2014-08-10,2787.0
2014-08-11,2787.0
2014-08-12,2787.0
2014-08-13,2787.0
2014-08-14,2787.0
2014-08-15,2787.0
2014-08-16,2787.0
2014-08-17,2787.0
2014-08-18,2787.0
2014-08-19,2787.0
2014-08-20,2787.0
2014-08-21,2787.0
2014-08-22,2787.0
2014-08-23,2787.0
2014-08-24,2787.0
2014-08-25,2787.0
2014-08-26,2787.0
2014-08-27,2787.0
2014-08-28,2787.0
2014-08-29,2787.0
2014-08-30,2787.0
2014-08-31,2787.0
2014-09-01,2861.2
2014-09-02,2861.2
2014-09-03,2861.2
2014-09-04,2861.2
2014-09-05,2861.2
2014-09-06,2861.2
2014-09-07,2861.2
2014-09-08,2861.2
2014-09-09,2861.2
2014-09-10,2861.2
2014-09-11,2861.2
2014-09-12,2861.2
2014-09-13,2861.2
2014-09-14,2861.2
2014-09-15,2861.2
2014-09-16,2861.2
2014-09-17,2861.2
2014-09-18,2861.2
2014-09-19,2861.2
2014-09-20,2861.2
2014-09-21,2861.2
2014-09-22,2861.2
2014-09-23,2861.2
2014-09-24,2861.2
2014-09-25,2861.2
2014-09-26,2861.2
2014-09-27,2861.2
2014-09-28,2861.2
2014-09-29,2861.2
2014-09-30,2861.2
2014-10-01,2880.4
2014-10-02,2880.4
2014-10-03,2880.4
2014-10-04,2880.4
2014-10-05,2880.4
2014-10-06,2880.4
2014-10-07,2880.4
2014-10-08,2880.4
2014-10-09,2880.4
2014-10-10,2880.4
2014-10-11,2880.4
2014-10-12,2880.4
2014-10-13,2880.4
2014-10-14,2880.4
2014-10-15,2880.4
2014-10-16,2880.4
2014-10-17,2880.4
2014-10-18,2880.4
2014-10-19,2880.4
2014-10-20,2880.4
2014-10-21,2880.4
2014-10-22,2880.4
2014-10-23,2880.4
2014-10-24,2880.4
2014-10-25,2880.4
2014-10-26,2880.4
2014-10-27,2880.4
2014-10-28,2880.4
2014-10-29,2880.4
2014-10-30,2880.4
2014-10-31,2880.4
2014-11-01,2888.2
2014-11-02,2888.2
2014-11-03,2888.2
2014-11-04,2888.2
2014-11-05,2888.2
2014-11-06,2888.2
2014-11-07,2888.2
2014-11-08,2888.2
2014-11-09,2888.2
2014-11-10,2888.2
2014-11-11,2888.2
2014-11-12,2888.2
2014-11-13,2888.2
2014-11-14,2888.2
2014-11-15,2888.2
2014-11-16,2888.2
2014-11-17,2888.2
2014-11-18,2888.2
2014-11-19,2888.2
2014-11-20,2888.2
2014-11-21,2888.2
2014-11-22,2888.2
2014-11-23,2888.2
2014-11-24,2888.2
2014-11-25,2888.2
2014-11-26,2888.2
2014-11-27,2888.2
2014-11-28,2888.2
2014-11-29,2888.2
2014-11-30,2888.2
2014-12-01,2955.8
2014-12-02,2955.8
2014-12-03,2955.8
2014-12-04,2955.8
2014-12-05,2955.8
2014-12-06,2955.8
2014-12-07,2955.8
2014-12-08,2955.8
2014-12-09,2955.8
2014-12-10,2955.8
2014-12-11,2955.8
2014-12-12,2955.8
2014-12-13,2955.8
2014-12-14,2955.8
2014-12-15,2955.8
2014-12-16,2955.8
2014-12-17,2955.8
2014-12-18,2955.8
2014-12-19,2955.8
2014-12-20,2955.8
2014-12-21,2955.8
2014-12-22,2955.8
2014-12-23,2955.8
2014-12-24,2955.8
2014-12-25,2955.8
2014-12-26,2955.8
2014-12-27,2955.8
2014-12-28,2955.8
2014-12-29,2955.8
2014-12-30,2955.8
2014-12-31,2955.8
2015-01-01,2952.9
2015-01-02,2952.9
2015-01-03,2952.9
2015-01-04,2952.9
2015-01-05,2952.9
2015-01-06,2952.9
2015-01-07,2952.9
2015-01-08,2952.9
2015-01-09,2952.9
2015-01-10,2952.9
2015-01-11,2952.9
2015-01-12,2952.9
2015-01-13,2952.9
2015-01-14,2952.9
2015-01-15,2952.9
2015-01-16,2952.9
2015-01-17,2952.9
2015-01-18,2952.9
2015-01-19,2952.9
2015-01-20,2952.9
2015-01-21,2952.9
2015-01-22,2952.9
2015-01-23,2952.9
2015-01-24,2952.9
2015-01-25,2952.9
2015-01-26,2952.9
2015-01-27,2952.9
2015-01-28,2952.9
2015-01-29,2952.9
2015-01-30,2952.9
2015-01-31,2952.9
2015-02-01,3009.9
2015-02-02,3009.9
2015-02-03,3009.9
2015-02-04,3009.9
2015-02-05,3009.9
2015-02-06,3009.9
2015-02-07,3009.9
2015-02-08,3009.9
2015-02-09,3009.9
2015-02-10,3009.9
2015-02-11,3009.9
2015-02-12,3009.9
2015-02-13,3009.9
2015-02-14,3009.9
2015-02-15,3009.9
2015-02-16,3009.9
2015-02-17,3009.9
2015-02-18,3009.9
2015-02-19,3009.9
2015-02-20,3009.9
2015-02-21,3009.9
2015-02-22,3009.9
2015-02-23,3009.9
2015-02-24,3009.9
