Date,Open_Wilshire,High_Wilshire,Low_Wilshire,Close_Wilshire,SharePrice,Volume
2014-05-01,19959.839844,20034.199219,19899.060547,19976.539063,19976.539063,0
2014-05-02,19976.539063,20068.669922,19939.839844,19965.980469,19965.980469,0
2014-05-05,19965.980469,20005.310547,19802.080078,19996.660156,19996.660156,0
2014-05-06,19996.660156,19996.660156,19796.769531,19796.970703,19796.970703,0
2014-05-07,19796.970703,19890.490234,19679.160156,19884.230469,19884.230469,0
2014-05-08,19884.230469,19997.949219,19769.419922,19823.810547,19823.810547,0
2014-05-09,19823.810547,19867.220703,19733.669922,19867.210938,19867.210938,0
2014-05-12,19867.210938,20104.919922,19867.210938,20097.800781,20097.800781,0
2014-05-13,20097.800781,20154.169922,20071.000000,20079.529297,20079.529297,0
2014-05-14,20079.529297,20079.529297,19939.929688,19966.910156,19966.910156,0
2014-05-15,19966.910156,19966.910156,19673.179688,19789.380859,19789.380859,0
2014-05-16,19789.380859,19865.929688,19716.529297,19863.960938,19863.960938,0
2014-05-19,19863.960938,19962.529297,19807.439453,19954.380859,19954.380859,0
2014-05-20,19954.380859,19954.380859,19753.669922,19805.740234,19805.740234,0
2014-05-21,19805.740234,19966.470703,19805.740234,19957.349609,19957.349609,0
2014-05-22,19957.349609,20066.900391,19938.289063,20024.769531,20024.769531,0
2014-05-23,20024.769531,20130.460938,20024.769531,20123.500000,20123.500000,0
2014-05-27,20123.500000,20261.570313,20123.500000,20258.820313,20258.820313,0
2014-05-28,20258.820313,20275.029297,20192.050781,20229.910156,20229.910156,0
2014-05-29,20229.910156,20333.039063,20228.679688,20332.990234,20332.990234,0
2014-05-30,20332.990234,20353.949219,20279.939453,20348.349609,20348.349609,0
2014-06-02,20348.349609,20371.650391,20253.660156,20361.029297,20361.029297,0
2014-06-03,20361.029297,20361.029297,20281.960938,20347.550781,20347.550781,0
2014-06-04,20347.550781,20407.349609,20282.199219,20399.689453,20399.689453,0
2014-06-05,20399.689453,20569.039063,20347.060547,20557.519531,20557.519531,0
2014-06-06,20557.519531,20665.839844,20557.519531,20661.859375,20661.859375,0
2014-06-09,20661.859375,20748.500000,20648.140625,20697.599609,20697.599609,0
2014-06-10,20697.599609,20697.599609,20616.800781,20686.140625,20686.140625,0
2014-06-11,20686.140625,20686.140625,20566.339844,20612.230469,20612.230469,0
2014-06-12,20612.230469,20612.230469,20422.529297,20469.859375,20469.859375,0
2014-06-13,20469.859375,20545.859375,20429.539063,20532.980469,20532.980469,0
2014-06-16,20532.980469,20582.570313,20473.900391,20555.810547,20555.810547,0
2014-06-17,20555.810547,20644.070313,20511.419922,20621.470703,20621.470703,0
2014-06-18,20621.470703,20775.390625,20587.369141,20767.839844,20767.839844,0
2014-06-19,20767.839844,20806.859375,20717.800781,20796.490234,20796.490234,0
2014-06-20,20796.490234,20838.740234,20796.169922,20834.759766,20834.759766,0
2014-06-23,20834.759766,20851.970703,20800.650391,20837.519531,20837.519531,0
2014-06-24,20837.519531,20909.480469,20678.509766,20743.929688,20743.929688,0
2014-06-25,20710.919922,20820.560547,20663.880859,20810.019531,20810.019531,0
2014-06-26,20810.019531,20812.460938,20657.980469,20789.380859,20789.380859,0
2014-06-27,20789.380859,20852.769531,20755.470703,20846.000000,20846.000000,0
2014-06-30,20846.000000,20888.779297,20824.900391,20862.740234,20862.740234,0
2014-07-01,20862.839844,21070.570313,20862.839844,21008.859375,21008.859375,0
2014-07-02,21008.859375,21034.929688,20979.689453,20997.109375,20997.109375,0
2014-07-03,20997.109375,21108.119141,20997.109375,21107.539063,21107.539063,0
2014-07-07,21107.539063,21107.539063,20957.390625,20979.359375,20979.359375,0
2014-07-08,20979.359375,20979.359375,20753.380859,20808.689453,20808.689453,0
2014-07-09,20808.689453,20916.150391,20808.689453,20903.699219,20903.699219,0
2014-07-10,20903.699219,20903.699219,20666.929688,20805.669922,20805.669922,0
2014-07-11,20805.669922,20841.380859,20746.929688,20828.859375,20828.859375,0
