Date,Inflation,M1SL,SharePrice,Ccc
2014-05-01,2.1,2785.3,19976.539063,0.5919
2014-05-02,2.1,2785.3,19965.980469,0.5926
2014-05-05,2.1,2785.3,19996.660156,0.5929
2014-05-06,2.1,2785.3,19796.970703,0.5891
2014-05-07,2.1,2785.3,19884.230469,0.5898
2014-05-08,2.1,2785.3,19823.810547,0.5905
2014-05-09,2.1,2785.3,19867.210938,0.5934
2014-05-12,2.1,2785.3,20097.800781,0.5928
2014-05-13,2.1,2785.3,20079.529297,0.5943
2014-05-14,2.1,2785.3,19966.910156,0.5964
2014-05-15,2.1,2785.3,19789.380859,0.5955
2014-05-16,2.1,2785.3,19863.960938,0.5948
2014-05-19,2.1,2785.3,19954.380859,0.5948
2014-05-20,2.1,2785.3,19805.740234,0.5938
2014-05-21,2.1,2785.3,19957.349609,0.5917
2014-05-22,2.1,2785.3,20024.769531,0.5927
2014-05-23,2.1,2785.3,20123.5,0.5941
2014-05-27,2.1,2785.3,20258.820313,0.5949
2014-05-28,2.1,2785.3,20229.910156,0.5984
2014-05-29,2.1,2785.3,20332.990234,0.5982
2014-05-30,2.1,2785.3,20348.349609,0.5968
2014-06-02,2.1,2817.2,20361.029297,0.5971
2014-06-03,2.1,2817.2,20347.550781,0.597
2014-06-04,2.1,2817.2,20399.689453,0.5974
2014-06-05,2.1,2817.2,20557.519531,0.5945
2014-06-06,2.1,2817.2,20661.859375,0.5951
2014-06-09,2.1,2817.2,20697.599609,0.5951
2014-06-10,2.1,2817.2,20686.140625,0.5967
2014-06-11,2.1,2817.2,20612.230469,0.5957
2014-06-12,2.1,2817.2,20469.859375,0.5908
2014-06-13,2.1,2817.2,20532.980469,0.5894
2014-06-16,2.1,2817.2,20555.810547,0.5888
2014-06-17,2.1,2817.2,20621.470703,0.5895
2014-06-18,2.1,2817.2,20767.839844,0.5884
2014-06-19,2.1,2817.2,20796.490234,0.5869
2014-06-20,2.1,2817.2,20834.759766,0.5878
2014-06-23,2.1,2817.2,20837.519531,0.5873
2014-06-24,2.1,2817.2,20743.929688,0.5887
2014-06-25,2.1,2817.2,20810.019531,0.5888
2014-06-26,2.1,2817.2,20789.380859,0.5873
2014-06-27,2.1,2817.2,20846.0,0.587
2014-06-30,2.1,2817.2,20862.740234,0.5846
2014-07-01,2.0,2837.3,21008.859375,0.583
2014-07-02,2.0,2837.3,20997.109375,0.5826
2014-07-03,2.0,2837.3,21107.539063,0.5829
2014-07-04,2.0,2837.3,,0.5827
2014-07-07,2.0,2837.3,20979.359375,0.5838
2014-07-08,2.0,2837.3,20808.689453,0.5837
2014-07-09,2.0,2837.3,20903.699219,0.5828
2014-07-10,2.0,2837.3,20805.669922,0.5837
2014-07-11,2.0,2837.3,20828.859375,0.5843
2014-07-14,2.0,2837.3,20927.259766,0.5853
2014-07-15,2.0,2837.3,20865.849609,0.5833
2014-07-16,2.0,2837.3,20934.199219,0.5835
2014-07-17,2.0,2837.3,20687.689453,0.5847
2014-07-18,2.0,2837.3,20912.560547,0.5853
2014-07-21,2.0,2837.3,20861.570313,0.5856
2014-07-22,2.0,2837.3,20972.800781,0.586
2014-07-23,2.0,2837.3,21010.599609,0.5867
2014-07-24,2.0,2837.3,21021.060547,0.5887
2014-07-25,2.0,2837.3,20907.169922,0.589
2014-07-28,2.0,2837.3,20895.050781,0.5888
2014-07-29,2.0,2837.3,20816.359375,0.5902
2014-07-30,2.0,2837.3,20830.539063,0.5912
2014-07-31,2.0,2837.3,20410.810547,0.5923
2014-08-01,1.7,2787.0,20346.009766,0.5944
2014-08-04,1.7,2787.0,20501.199219,0.593
2014-08-05,1.7,2787.0,20320.470703,0.5922
2014-08-06,1.7,2787.0,20319.410156,0.5934
2014-08-07,1.7,2787.0,20216.380859,0.5941
2014-08-08,1.7,2787.0,20436.160156,0.5961
2014-08-11,1.7,2787.0,20527.130859,0.5957
2014-08-12,1.7,2787.0,20476.169922,0.5948
2014-08-13,1.7,2787.0,20617.509766,0.5992
2014-08-14,1.7,2787.0,20704.330078,0.5993
2014-08-15,1.7,2787.0,20704.880859,0.5991
2014-08-18,1.7,2787.0,20892.619141,0.5977
2014-08-19,1.7,2787.0,20989.230469,0.6017
2014-08-20,1.7,2787.0,21031.550781,0.6026
2014-08-21,1.7,2787.0,21084.509766,0.6031
2014-08-22,1.7,2787.0,21054.859375,0.6034
2014-08-25,1.7,2787.0,21153.169922,0.6032
2014-08-26,1.7,2787.0,21193.539063,0.6045
2014-08-27,1.7,2787.0,21192.480469,0.6032
2014-08-28,1.7,2787.0,21150.550781,0.6029
2014-08-29,1.7,2787.0,21233.830078,0.6025
2014-09-01,1.7,2861.2,,0.6021
2014-09-02,1.7,2861.2,21244.429688,0.6072
2014-09-03,1.7,2861.2,21213.179688,0.6075
2014-09-04,1.7,2861.2,21169.980469,0.6123
2014-09-05,1.7,2861.2,21270.320313,0.6125
2014-09-08,1.7,2861.2,21221.960938,0.6209
2014-09-09,1.7,2861.2,21075.320313,0.6209
2014-09-10,1.7,2861.2,21151.839844,0.617
2014-09-11,1.7,2861.2,21182.539063,0.6152
2014-09-12,1.7,2861.2,21041.429688,0.6148
2014-09-15,1.7,2861.2,20978.919922,0.6152
2014-09-16,1.7,2861.2,21128.769531,0.6152
2014-09-17,1.7,2861.2,21160.720703,0.6152
2014-09-18,1.7,2861.2,21254.009766,0.6152
2014-09-19,1.7,2861.2,21219.880859,0.614
2014-09-22,1.7,2861.2,21008.369141,0.6152
2014-09-23,1.7,2861.2,20877.0,0.6152
2014-09-24,1.7,2861.2,21038.169922,0.6152
2014-09-25,1.7,2861.2,20707.320313,0.6152
2014-09-26,1.7,2861.2,20885.669922,0.6155
2014-09-29,1.7,2861.2,20842.009766,0.6152
2014-09-30,1.7,2861.2,20760.460938,0.6152
2014-10-01,1.7,2880.4,20476.539063,0.6152
2014-10-02,1.7,2880.4,20500.460938,0.6152
2014-10-03,1.7,2880.4,20715.529297,0.6263
2014-10-06,1.7,2880.4,20665.039063,0.6152
2014-10-07,1.7,2880.4,20350.960938,0.6152
2014-10-08,1.7,2880.4,20677.580078,0.6152
2014-10-09,1.7,2880.4,20234.900391,0.6152
2014-10-10,1.7,2880.4,19975.650391,0.622
2014-10-13,1.7,2880.4,19652.019531,0.6152
2014-10-14,1.7,2880.4,19707.630859,0.6152
2014-10-15,1.7,2880.4,19617.560547,0.6152
2014-10-16,1.7,2880.4,19682.830078,0.6242
2014-10-17,1.7,2880.4,19900.419922,0.6214
2014-10-20,1.7,2880.4,20089.390625,0.6152
2014-10-21,1.7,2880.4,20483.439453,0.6152
2014-10-22,1.7,2880.4,20307.949219,0.6152
2014-10-23,1.7,2880.4,20563.990234,0.6152
2014-10-24,1.7,2880.4,20690.130859,0.6215
2014-10-27,1.7,2880.4,20654.160156,0.6227
2014-10-28,1.7,2880.4,20928.810547,0.6152
2014-10-29,1.7,2880.4,20885.019531,0.6152
2014-10-30,1.7,2880.4,21005.5,0.6271
2014-10-31,1.7,2880.4,21256.740234,0.6251
2014-11-03,1.3,2888.2,21260.259766,0.6152
2014-11-04,1.3,2888.2,21176.349609,0.6152
2014-11-05,1.3,2888.2,21269.720703,0.6152
2014-11-06,1.3,2888.2,21359.810547,0.6152
2014-11-07,1.3,2888.2,21381.830078,0.63
2014-11-10,1.3,2888.2,21447.210938,0.6152
2014-11-11,1.3,2888.2,21462.669922,0.6152
2014-11-12,1.3,2888.2,21468.119141,0.6152
2014-11-13,1.3,2888.2,21456.019531,0.6152
2014-11-14,1.3,2888.2,21467.769531,0.6382
2014-11-17,1.3,2888.2,21461.910156,0.6393
2014-11-18,1.3,2888.2,21572.589844,0.6397
2014-11-19,1.3,2888.2,21526.380859,0.6377
2014-11-20,1.3,2888.2,21592.830078,0.6372
2014-11-21,1.3,2888.2,21696.140625,0.6387
2014-11-24,1.3,2888.2,21778.990234,0.6367
2014-11-25,1.3,2888.2,21761.119141,0.6366
2014-11-26,1.3,2888.2,21826.240234,0.6332
2014-11-28,1.3,2888.2,21731.179688,0.6392
2014-12-01,0.8,2955.8,21522.970703,0.6357
2014-12-02,0.8,2955.8,21665.189453,0.6395
2014-12-03,0.8,2955.8,21765.080078,0.6375
2014-12-04,0.8,2955.8,21733.199219,0.638
2014-12-05,0.8,2955.8,21775.240234,0.6417
2014-12-08,0.8,2955.8,21581.910156,0.6389
2014-12-09,0.8,2955.8,21536.179688,0.6382
2014-12-10,0.8,2955.8,21244.730469,0.6364
2014-12-11,0.8,2955.8,21338.890625,0.6357
2014-12-12,0.8,2955.8,21009.830078,0.6363
2014-12-15,0.8,2955.8,20858.439453,0.6395
2014-12-16,0.8,2955.8,20703.089844,0.6349
2014-12-17,0.8,2955.8,21158.580078,0.642
2014-12-18,0.8,2955.8,21633.300781,0.6381
2014-12-19,0.8,2955.8,21727.5,0.64
2014-12-22,0.8,2955.8,21811.189453,0.6414
2014-12-23,0.8,2955.8,21857.5,0.6443
2014-12-24,0.8,2955.8,21867.830078,0.6427
2014-12-26,0.8,2955.8,21949.029297,0.6427
2014-12-29,0.8,2955.8,21977.519531,0.6444
2014-12-30,0.8,2955.8,21876.169922,0.6426
2014-12-31,0.8,2955.8,21669.859375,0.6419
2015-01-02,-0.1,2952.9,21665.320313,0.6524
2015-01-05,-0.1,2952.9,21269.060547,0.6558
2015-01-06,-0.1,2952.9,21060.25,0.66
2015-01-07,-0.1,2952.9,21301.669922,0.6617
2015-01-08,-0.1,2952.9,21672.390625,0.6627
2015-01-09,-0.1,2952.9,21497.119141,0.6597
2015-01-12,-0.1,2952.9,21330.630859,0.6591
2015-01-13,-0.1,2952.9,21280.560547,0.6596
2015-01-14,-0.1,2952.9,21164.949219,0.6564
2015-01-15,-0.1,2952.9,20953.339844,0.6586
2015-01-16,-0.1,2952.9,21244.679688,0.66
2015-01-19,-0.1,2952.9,,0.6616
2015-01-20,-0.1,2952.9,21258.140625,0.6603
2015-01-21,-0.1,2952.9,21352.669922,0.6604
2015-01-22,-0.1,2952.9,21685.029297,0.6661
2015-01-23,-0.1,2952.9,21588.009766,0.667
2015-01-26,-0.1,2952.9,21685.830078,0.6632
2015-01-27,-0.1,2952.9,21435.560547,0.658
2015-01-28,-0.1,2952.9,21135.570313,0.6605
2015-01-29,-0.1,2952.9,21329.589844,0.6637
2015-01-30,-0.1,2952.9,21060.439453,0.6639
2015-02-02,0.0,3009.9,21310.470703,0.665
2015-02-03,0.0,3009.9,21624.779297,0.6593
2015-02-04,0.0,3009.9,21536.439453,0.6586
2015-02-05,0.0,3009.9,21774.5,0.6524
2015-02-06,0.0,3009.9,21705.75,0.656
2015-02-09,0.0,3009.9,21602.519531,0.6572
2015-02-10,0.0,3009.9,21813.970703,0.6555
2015-02-11,0.0,3009.9,21807.210938,0.6562
2015-02-12,0.0,3009.9,22022.240234,0.65
2015-02-13,0.0,3009.9,22120.810547,0.6495
2015-02-16,0.0,3009.9,,0.6509
2015-02-17,0.0,3009.9,22152.310547,0.6513
2015-02-18,0.0,3009.9,22161.029297,0.6478
2015-02-19,0.0,3009.9,22141.179688,0.6487
2015-02-20,0.0,3009.9,22278.550781,0.6494
2015-02-23,0.0,3009.9,22260.0,0.647
2015-02-24,0.0,3009.9,22308.640625,0.6471
2015-02-25,0.0,3009.9,22314.560547,0.6439
2015-02-26,0.0,3009.9,22278.230469,0.6491
2015-02-27,0.0,3009.9,22212.339844,0.6479
2015-03-02,-0.1,2996.8,22346.240234,0.6509
2015-03-03,-0.1,2996.8,22255.789063,0.651
2015-03-04,-0.1,2996.8,22158.519531,0.6551
2015-03-05,-0.1,2996.8,22192.839844,0.6561
2015-03-06,-0.1,2996.8,21886.429688,0.665
2015-03-09,-0.1,2996.8,21960.689453,0.661
2015-03-10,-0.1,2996.8,21616.910156,0.6636
2015-03-11,-0.1,2996.8,21600.880859,0.6697
2015-03-12,-0.1,2996.8,21869.630859,0.6719
2015-03-13,-0.1,2996.8,21746.759766,0.6783
