Date, Open_DNGN, High_DNGN, Low_DNGN, Close_DNGN
2024-07-22,1605.5,1665.61,1587.1,1607.0
2024-07-19,1627.34,1635.0,1605.5,1605.5
2024-07-18,1614.84,1660.0,1604.08,1627.34
2024-07-17,1618.85,1628.86,1595.0,1614.84
2024-07-16,1619.84,1642.72,1588.86,1618.86
2024-07-15,1600.28,1639.69,1598.03,1619.84
2024-07-12,1586.23,1619.92,1560.75,1619.91
2024-07-11,1558.14,1612.0,1546.23,1586.23
2024-07-10,1550.73,1590.0,1524.5,1578.22
2024-07-09,1550.72,1550.73,1535.0,1550.72
2024-07-08,1527.5,1550.73,1516.35,1550.72
2024-07-05,1526.25,1527.5,1506.05,1527.5
2024-07-04,1514.68,1526.25,1503.0,1526.25
2024-07-03,1504.5,1526.25,1474.0,1526.25
2024-07-02,1532.63,1532.63,1470.69,1504.5
2024-07-01,1535.42,1544.29,1505.47,1532.63
2024-06-28,1540.24,1540.47,1520.47,1535.42
2024-06-27,1540.24,1545.24,1520.24,1540.24
2024-06-26,1518.12,1555.48,1515.89,1540.24
2024-06-25,1530.89,1535.9,1510.88,1535.89
2024-06-24,1485.65,1530.9,1485.65,1530.89
2024-06-21,1489.0,1515.0,1470.0,1499.0
2024-06-20,1490.0,1490.01,1479.0,1489.0
2024-06-19,1490.5,1527.23,1470.0,1490.0
2024-06-18,1483.04,1505.0,1483.03,1490.5
2024-06-17,1484.32,1484.72,1483.03,1483.04
2024-06-14,1504.99,1505.01,1472.5,1495.5
2024-06-13,1505.0,1505.01,1475.0,1505.0
2024-06-12,1483.32,1505.01,1481.05,1505.0
2024-06-11,1501.87,1525.0,1465.8,1505.0
2024-06-10,1489.13,1518.8,1471.87,1501.87
2024-06-07,1496.22,1496.22,1471.21,1471.22
2024-06-06,1497.53,1497.53,1471.72,1496.22
2024-06-05,1493.49,1498.8,1468.9,1497.53
2024-06-04,1485.24,1500.0,1468.9,1493.5
2024-06-03,1487.0,1505.0,1465.0,1487.0
2024-05-31,1334.55,1491.01,1334.54,1487.0
2024-05-30,1400.46,1445.78,1230.06,1334.55
2024-05-29,1390.95,1454.96,1390.95,1400.46
2024-05-28,1477.63,1485.0,1390.96,1390.96
2024-05-27,1468.46,1505.0,1468.15,1477.63
2024-05-24,1444.0,1480.0,1444.0,1468.46
2024-05-23,1432.5,1475.0,1417.5,1444.0
2024-05-22,1420.5,1465.0,1416.0,1432.5
2024-05-21,1532.43,1532.43,1418.5,1420.5
2024-05-20,1470.0,1534.0,1456.0,1532.43
2024-05-17,1523.0,1525.0,1470.0,1470.0
2024-05-16,1522.0,1545.0,1513.98,1523.0
2024-05-15,1502.5,1545.0,1475.0,1522.0
2024-05-14,1445.29,1525.0,1444.93,1502.5
2024-05-13,1424.9,1482.84,1424.9,1445.29
2024-05-10,1419.53,1437.0,1419.53,1424.9
2024-05-09,1407.4,1455.0,1406.25,1419.53
2024-05-08,1389.0,1430.0,1383.9,1407.4
2024-05-07,1386.0,1389.0,1380.7,1389.0
2024-05-06,1382.5,1407.68,1375.0,1386.0
2024-05-03,1372.95,1409.42,1372.95,1382.5
2024-05-02,1394.5,1402.22,1350.9,1372.95
2024-05-01,1390.0,1409.46,1390.0,1394.5
2024-04-30,1357.0,1390.0,1357.0,1390.0
2024-04-29,1306.22,1390.0,1306.22,1357.0
2024-04-26,1280.02,1333.5,1280.02,1306.22
2024-04-25,1254.03,1290.5,1254.03,1280.02
2024-04-24,1233.5,1290.5,1233.5,1254.03
2024-04-23,1233.5,1271.96,1232.46,1233.5
2024-04-22,1077.0,1236.0,1075.75,1233.5
2024-04-19,1150.27,1164.31,1041.99,1077.0
2024-04-18,1151.18,1170.0,1140.64,1150.27
2024-04-17,1141.0,1161.71,1115.0,1151.18
2024-04-16,1153.0,1173.14,1139.0,1147.64
