invoice_id,customer_id,vehicle_id,job_id,part_id,location_id,job_hour,job_rate,job_amount,part_price,part_quantity,part_total,sub_total,tax ,total,date_id
12345,1001,1001,1,0,100,0.5,125,62.5,0,0,0,62.5,8.125,70.625,2023-09-10
12345,1001,1001,2,0,100,3.5,125,437.5,0,0,0,437.5,56.875,494.375,2023-09-10
12345,1001,1001,3,0,100,1,125,125,0,0,0,125,16.25,141.25,2023-09-10
12346,1002,1002,4,0,100,1,75,75,0,0,0,75,9.75,84.75,2023-09-15
12346,1002,1002,5,0,100,2,125,250,0,0,0,250,32.5,282.5,2023-09-15
12347,1003,1003,6,0,100,1.5,100,150,0,0,0,150,19.5,169.5,2023-09-20
12347,1003,1003,7,0,100,1,50,50,0,0,0,50,6.5,56.5,2023-09-20
12348,1004,1004,8,0,100,2,150,300,0,0,0,300,39,339,2023-09-25
12348,1004,1004,9,0,100,0.5,50,25,0,0,0,25,3.25,28.25,2023-09-25
12349,1005,1005,10,0,100,1.5,120,180,0,0,0,180,23.4,203.4,2023-09-30
12349,1005,1005,11,0,100,2,130,260,0,0,0,260,33.8,293.8,2023-09-30
12345,1001,1001,2,1,100,0,0,0,876.87,1,876.87,876.87,113.9931,990.8631,2023-09-10
12345,1001,1001,2,2,100,0,0,0,45,1,45,45,5.85,50.85,2023-09-10
12345,1001,1001,3,3,100,0,0,0,12,4,48,48,6.24,54.24,2023-09-10
12346,1002,1002,5,4,100,0,0,0,200,1,200,200,26,226,2023-09-15
12347,1003,1003,6,5,100,0,0,0,120,1,120,120,15.6,135.6,2023-09-20
12347,1003,1003,7,6,100,0,0,0,30,1,30,30,3.9,33.9,2023-09-20
12348,1004,1004,8,7,100,0,0,0,100,1,100,100,13,113,2023-09-25
12348,1004,1004,9,8,100,0,0,0,25,1,25,25,3.25,28.25,2023-09-25
12349,1005,1005,10,9,100,0,0,0,60,1,60,60,7.8,67.8,2023-09-30
12349,1005,1005,11,10,100,0,0,0,20,4,80,80,10.4,90.4,2023-09-30
