YEAR,POP(AFRICA),POP%
2000,818952057,2.44344214308658
2001,839463871,2.45727496766395
2002,860611461,2.46362771933729
2003,882349262,2.47928114034315
2004,904781335,2.49130427144963
2005,927898100,2.50511328578098
2006,951740272,2.53170999755317
2007,976461444,2.54693750112084
2008,1001981281,2.54998967214833
2009,1028200282,2.5618138202273
2010,1055233397,2.53468332810247
2011,1082675800,2.53164422265747
2012,1110797234,2.57707827298725
2013,1140180580,2.57356815720421
2014,1170299023,2.56504132770122
2015,1201107938,2.51630330600823
2016,1232111603,2.47140792527227
2017,1263333733,2.46523412522034
2018,1295265049,2.44302821326971
2019,1327701163,2.42350406464617
2020,1360677231,2.36778149921862
2021,1393676444,2.31716687128109
2022,1426736305,2.31057091207572
2023,1460481772,2.30851453279886
2024,1494993924,
