YEAR,POP(GERMANY),POP%,Per 1 000 (Practicing),Persons(Practing),Foreign doctors,<35 years,35 to 44 years,45 to 54 years, 55 to 64 years,65 to 74 years,Grad(Persons),Grad per 1000 practicing,Inflow Immigration,Outflow Immigration
2000,82211508,0.168366939577364,3.25,266869,11651,52613,47671,81682,80883,4020,9165,34.34,648846,562794
2001,82349925,0.16826973430759,3.29,271157,12170,51512,46663,84472,84342,4168,8955,33.03,685259,496987
2002,82488495,0.0553786318928476,3.32,273961,13180,49307,45622,87318,87379,4335,8852,32.31,658341,505572
2003,82534176,-0.0217073712591497,3.35,276643,14173,48194,44078,89825,90014,4532,8947,32.34,601759,499063
2004,82516260,-0.0567621460303703,3.37,278444,14781,48062,42191,91635,91657,4899,8896,31.95,602182,546965
2005,82469422,-0.112733905180031,3.4,280012,15062,45619,40059,93471,95038,5825,8870,31.68,579301,483584
2006,82376451,-0.133629209153475,3.44,283102,16080,47576,39052,94550,95670,6254,8724,30.82,558467,483774
2007,82266372,-0.189962187708971,3.49,286803,16818,48765,37296,95311,98264,7167,9574,33.38,574752,475752
2008,82110097,-0.25306266536258,3.54,290723,18105,50595,35479,95581,101199,7869,9857,33.91,573815,563130
2009,81902307,-0.153081158019151,3.62,296400,19841,52449,34919,94704,104903,9425,10069,33.97,606314,578808
2010,81776930,-1.83663901298325,3.71,303645,21650,55085,35260,93445,108915,10940,9894,32.58,683529,529605
2011,80274983,0.18790411951878,3.88,311223,24595,57748,36100,91591,114365,11419,9572,30.76,841695,538837
2012,80425823,0.273272926283888,3.95,317390,28310,58379,37274,88334,120468,12935,9587,30.21,965908,578759
2013,80645605,0.417747501553246,4.04,325407,31236,62703,38966,86349,124023,13366,9801,30.12,1108068,657604
2014,80982500,0.869460685950668,4.11,332695,34706,64989,40315,83991,128499,14901,9599,28.85,1342529,765605
2015,81686611,0.810485331555743,4.14,338129,37878,66887,40947,81804,130999,17492,9215,27.25,2016241,859279
2016,82348669,0.374423780911383,4.19,344755,41658,69019,41758,80976,133558,19444,9647,27.98,1719075,1083767
2017,82657002,0.300978736199506,4.25,351195,45370,70682,43325,80318,135664,21206,9928,28.27,1384018,885460
2018,82905782,0.225774361551767,4.31,357401,48672,71792,45013,80045,137536,23015,9563,26.76,1383580,923580
2019,83092962,0.0817265365988518,4.4,365388,52522,73540,47389,80791,138861,24807,10234,28.01,1345943,961258
2020,83160871,0.0423360164181061,4.47,371556,56107,75179,49968,81548,138989,25872,10007,26.93,994819,746212
2021,83196078,0.72348001789219,4.53,376852,57200,75492,52333,82868,138893,27266,10320,27.38,1139816,746474
2022,83797985,0.816585267533581,4.55,381249,59883,75922,54027,85252,137642,28406,10377,27.22,,
2023,84482267,-0.12236769167191,,,63767,,,,,,,,,
2024,84378888,,,,,,,,,,,,,
