YEAR,POP(AFRICA),POP%,Doctor Migration to Germany,Impact on Africa
2000,818952057,2.4434421430865845,81895.2057,818870161.7943
2001,839463871,2.4572749676639503,83946.3871,839379924.6129
2002,860611461,2.463627719337289,86061.1461,860525399.8539
2003,882349262,2.4792811403431525,88234.9262,882261027.0738
2004,904781335,2.4913042714496343,90478.13350000001,904690856.8665
2005,927898100,2.505113285780976,92789.81,927805310.19
2006,951740272,2.531709997553165,95174.02720000001,951645097.9728
2007,976461444,2.546937501120842,97646.1444,976363797.8556
2008,1001981281,2.5499896721483295,100198.1281,1001881082.8719
2009,1028200282,2.561813820227299,102820.0282,1028097461.9718
2010,1055233397,2.5346833281024663,105523.33970000001,1055127873.6603
2011,1082675800,2.531644222657472,108267.58,1082567532.42
2012,1110797234,2.577078272987249,111079.7234,1110686154.2766
2013,1140180580,2.573568157204212,114018.058,1140066561.942
2014,1170299023,2.5650413277012243,117029.9023,1170181993.0977
2015,1201107938,2.51630330600823,120110.7938,1200987827.2062
2016,1232111603,2.4714079252722687,123211.1603,1231988391.8397
2017,1263333733,2.465234125220343,126333.3733,1263207399.6267
2018,1295265049,2.4430282132697054,129526.5049,1295135522.4951
2019,1327701163,2.423504064646173,132770.1163,1327568392.8837
2020,1360677231,2.3677814992186232,136067.7231,1360541163.2769
2021,1393676444,2.3171668712810947,139367.64440000002,1393537076.3556
2022,1426736305,2.3105709120757174,142673.6305,1426593631.3695
2023,1460481772,2.308514532798864,146048.1772,1460335723.8228
2024,1494993924,,149499.3924,1494844424.6076
