id,company_name,industry,location_id,website
72,Day LLC,Finance,8,https://blankenship-medina.com/
21,Franklin, Beasley and Swanson,E-commerce,7,https://maynard.com/
92,Snyder, Harris and Black,Finance,19,https://www.estrada.org/
45,Holland-Sherman,Tech,16,https://gillespie-gonzalez.com/
68,Giles, Rodriguez and Yang,Finance,1,http://jacobs-richardson.com/
70,Williams Ltd,E-commerce,14,http://www.saunders.biz/
44,Wilson Inc,Finance,10,http://www.chang.com/
34,Garcia LLC,E-commerce,6,https://fitzgerald.biz/
41,Hughes-Vance,Education,16,http://www.ortiz-wolfe.net/
5,Carr, Mason and Krueger,Tech,15,http://stevenson-mcguire.com/
67,Matthews-Arnold,Healthcare,16,https://taylor.com/
77,Kelly LLC,Finance,11,http://www.thompson-powell.com/
75,Hardin, Johnson and Bailey,E-commerce,14,http://www.wyatt.info/
64,Kane Group,Tech,20,https://www.tucker-brooks.com/
71,Mills-Fleming,E-commerce,5,http://www.cruz-harris.com/
29,James and Sons,Education,12,http://www.cortez.biz/
63,Thomas, Jones and Cummings,Education,9,http://blake.com/
24,Russell, Gross and Phillips,E-commerce,8,https://www.nolan.com/
51,Smith and Sons,Finance,10,http://www.powers.org/
66,Walker and Sons,Finance,15,http://www.wilson-evans.com/
