YEAR,POPULATION PROJECTION,Change Rate
2024,84378888,-0.111260058321698
2025,84285008,-0.104644944685774
2026,84196808,-0.106379329724709
2027,84107240,-0.107672062476429
2028,84016680,-0.119385817197252
2029,83916376,-0.129643348754717
2030,83807584,-0.139357316397523
2031,83690792,-0.156146210206733
2032,83560112,-0.173556493078899
2033,83415088,-0.189932066007051
2034,83256656,-0.209424697528087
2035,83082296,-0.2212360621329
2036,82898488,-0.234117659661054
2037,82704408,-0.24763855392085
2038,82499600,-0.265562499696968
2039,82280512,-0.283663767187059
2040,82047112,-0.296473567527886
2041,81803864,-0.311261580504315
2042,81549240,-0.325839946515749
2043,81283520,-0.337928278696592
2044,81008840,-0.346243693898098
2045,80728352,-0.358307822262989
2046,80439096,-0.364250736979938
2047,80146096,-0.370633149741941
2048,79849048,-0.37231251648736
2049,79551760,-0.37937564172056
2050,79249960,-100
