YEAR,POP(GERMANY),POP%,Per 1 000 (Practicing),Persons(Practing),Foreign doctors,<35 years,35 to 44 years,45 to 54 years, 55 to 64 years,65 to 74 years,Grad(Persons),Grad per 1000 practicing,Inflow Immigration,Outflow Immigration,Retiring Doctors,New Doctors,Net Immigration,Doctor Deficit
2000,82211508,0.1683669395773643,3.25,266869.0,11651.0,52613.0,47671.0,81682.0,80883.0,4020.0,9165.0,34.34,648846.0,562794.0,4020.0,9164.281460000002,86052.0,80907.71854
2001,82349925,0.16826973430759043,3.29,271157.0,12170.0,51512.0,46663.0,84472.0,84342.0,4168.0,8955.0,33.03,685259.0,496987.0,4168.0,8956.315709999999,188272.0,183483.68429
2002,82488495,0.0553786318928476,3.32,273961.0,13180.0,49307.0,45622.0,87318.0,87379.0,4335.0,8852.0,32.31,658341.0,505572.0,4335.0,8851.67991,152769.0,148252.32009
2003,82534176,-0.021707371259149663,3.35,276643.0,14173.0,48194.0,44078.0,89825.0,90014.0,4532.0,8947.0,32.34,601759.0,499063.0,4532.0,8946.63462,102696.0,98281.36538
2004,82516260,-0.056762146030370254,3.37,278444.0,14781.0,48062.0,42191.0,91635.0,91657.0,4899.0,8896.0,31.95,602182.0,546965.0,4899.0,8896.2858,55217.0,51219.7142
2005,82469422,-0.11273390518003144,3.4,280012.0,15062.0,45619.0,40059.0,93471.0,95038.0,5825.0,8870.0,31.68,579301.0,483584.0,5825.0,8870.78016,95717.0,92671.21984
2006,82376451,-0.13362920915347518,3.44,283102.0,16080.0,47576.0,39052.0,94550.0,95670.0,6254.0,8724.0,30.82,558467.0,483774.0,6254.0,8725.20364,74693.0,72221.79636000001
2007,82266372,-0.18996218770897055,3.49,286803.0,16818.0,48765.0,37296.0,95311.0,98264.0,7167.0,9574.0,33.38,574752.0,475752.0,7167.0,9573.48414,99000.0,96593.51586
2008,82110097,-0.2530626653625802,3.54,290723.0,18105.0,50595.0,35479.0,95581.0,101199.0,7869.0,9857.0,33.91,573815.0,563130.0,7869.0,9858.41693,10685.0,8695.58307
2009,81902307,-0.1530811580191508,3.62,296400.0,19841.0,52449.0,34919.0,94704.0,104903.0,9425.0,10069.0,33.97,606314.0,578808.0,9425.0,10068.707999999999,27506.0,26862.292
2010,81776930,-1.836639012983246,3.71,303645.0,21650.0,55085.0,35260.0,93445.0,108915.0,10940.0,9894.0,32.58,683529.0,529605.0,10940.0,9892.754099999998,153924.0,154971.2459
2011,80274983,0.18790411951877958,3.88,311223.0,24595.0,57748.0,36100.0,91591.0,114365.0,11419.0,9572.0,30.76,841695.0,538837.0,11419.0,9573.219480000002,302858.0,304703.78052
2012,80425823,0.2732729262838877,3.95,317390.0,28310.0,58379.0,37274.0,88334.0,120468.0,12935.0,9587.0,30.21,965908.0,578759.0,12935.0,9588.3519,387149.0,390495.6481
2013,80645605,0.4177475015532464,4.04,325407.0,31236.0,62703.0,38966.0,86349.0,124023.0,13366.0,9801.0,30.12,1108068.0,657604.0,13366.0,9801.25884,450464.0,454028.74116
2014,80982500,0.8694606859506684,4.11,332695.0,34706.0,64989.0,40315.0,83991.0,128499.0,14901.0,9599.0,28.85,1342529.0,765605.0,14901.0,9598.250750000001,576924.0,582226.74925
2015,81686611,0.810485331555743,4.14,338129.0,37878.0,66887.0,40947.0,81804.0,130999.0,17492.0,9215.0,27.25,2016241.0,859279.0,17492.0,9214.01525,1156962.0,1165239.98475
2016,82348669,0.374423780911383,4.19,344755.0,41658.0,69019.0,41758.0,80976.0,133558.0,19444.0,9647.0,27.98,1719075.0,1083767.0,19444.0,9646.2449,635308.0,645105.7551
2017,82657002,0.30097873619950555,4.25,351195.0,45370.0,70682.0,43325.0,80318.0,135664.0,21206.0,9928.0,28.27,1384018.0,885460.0,21206.0,9928.28265,498558.0,509835.71735
2018,82905782,0.22577436155176728,4.31,357401.0,48672.0,71792.0,45013.0,80045.0,137536.0,23015.0,9563.0,26.76,1383580.0,923580.0,23015.0,9564.05076,460000.0,473450.94924
2019,83092962,0.08172653659885178,4.4,365388.0,52522.0,73540.0,47389.0,80791.0,138861.0,24807.0,10234.0,28.01,1345943.0,961258.0,24807.0,10234.51788,384685.0,399257.48212
2020,83160871,0.04233601641810606,4.47,371556.0,56107.0,75179.0,49968.0,81548.0,138989.0,25872.0,10007.0,26.93,994819.0,746212.0,25872.0,10006.003079999999,248607.0,264472.99692
2021,83196078,0.7234800178921896,4.53,376852.0,57200.0,75492.0,52333.0,82868.0,138893.0,27266.0,10320.0,27.38,1139816.0,746474.0,27266.0,10318.20776,393342.0,410289.79224
2022,83797985,0.816585267533581,4.55,381249.0,59883.0,75922.0,54027.0,85252.0,137642.0,28406.0,10377.0,27.22,,,28406.0,10377.59778,,
2023,84482267,-0.12236769167191026,,,63767.0,,,,,,,,,,,,,
2024,84378888,,,,,,,,,,,,,,,,,
